,precipitation,temp_max,temp_min,wind,weather,Predictions
0,0.0,12.8,5.0,4.7,drizzle,1
1,10.9,10.6,2.8,4.5,rain,4
2,0.8,11.7,7.2,2.3,rain,1
3,20.3,12.2,5.6,4.7,rain,4
4,1.3,8.9,2.8,6.1,rain,0
5,2.5,4.4,2.2,2.2,rain,0
6,0.0,7.2,2.8,2.3,rain,0
7,0.0,10.0,2.8,2.0,sun,0
8,4.3,9.4,5.0,3.4,rain,0
9,1.0,6.1,0.6,3.4,rain,0
10,0.0,6.1,-1.1,5.1,sun,0
11,0.0,6.1,-1.7,1.9,sun,0
12,0.0,5.0,-2.8,1.3,sun,0
13,4.1,4.4,0.6,5.3,snow,0
14,5.3,1.1,-3.3,3.2,snow,0
15,2.5,1.7,-2.8,5.0,snow,0
16,8.1,3.3,0.0,5.6,snow,0
17,19.8,0.0,-2.8,5.0,snow,4
18,15.2,-1.1,-2.8,1.6,snow,4
19,13.5,7.2,-1.1,2.3,snow,4
20,3.0,8.3,3.3,8.2,rain,0
21,6.1,6.7,2.2,4.8,rain,0
22,0.0,8.3,1.1,3.6,rain,0
23,8.6,10.0,2.2,5.1,rain,4
24,8.1,8.9,4.4,5.4,rain,4
25,4.8,8.9,1.1,4.8,rain,0
26,0.0,6.7,-2.2,1.4,drizzle,0
27,0.0,6.7,0.6,2.2,rain,0
28,27.7,9.4,3.9,4.5,rain,3
29,3.6,8.3,6.1,5.1,rain,0
30,1.8,9.4,6.1,3.9,rain,0
31,13.5,8.9,3.3,2.7,rain,4
32,0.0,8.3,1.7,2.6,sun,0
33,0.0,14.4,2.2,5.3,sun,0
34,0.0,15.6,5.0,4.3,sun,1
35,0.0,13.9,1.7,2.9,sun,0
36,0.0,16.1,1.7,5.0,sun,1
37,0.3,15.6,7.8,5.3,rain,1
38,2.8,10.0,5.0,2.7,rain,0
39,2.5,11.1,7.8,2.4,rain,1
40,2.5,12.8,6.7,3.0,rain,1
41,0.8,8.9,5.6,3.4,rain,0
42,1.0,8.3,5.0,1.3,rain,0
43,11.4,7.2,4.4,1.4,rain,4
44,2.5,6.7,1.1,3.1,rain,0
45,0.0,7.2,0.6,1.8,drizzle,0
46,1.8,7.2,3.3,2.1,rain,0
47,17.3,10.0,4.4,3.4,rain,4
48,6.4,6.7,3.9,8.1,rain,0
49,0.0,6.7,2.2,4.7,sun,0
50,3.0,7.8,1.7,2.9,rain,0
51,0.8,10.0,7.8,7.5,rain,0
52,8.6,10.0,2.8,5.9,rain,4
53,0.0,8.3,2.8,3.9,sun,0
54,11.4,6.7,4.4,3.5,rain,4
55,0.0,7.2,2.8,6.4,rain,0
56,1.3,5.0,-1.1,3.4,snow,0
57,0.0,6.7,-2.2,3.0,sun,0
58,3.6,6.7,-0.6,4.2,snow,0
59,0.8,5.0,1.1,7.0,snow,0
60,0.0,6.1,1.1,3.1,sun,0
61,2.0,6.7,3.9,5.1,rain,0
62,0.0,12.2,6.7,7.0,sun,1
63,0.0,10.6,6.7,5.6,rain,0
64,6.9,7.8,1.1,6.2,rain,0
65,0.5,6.7,0.0,2.7,snow,0
66,0.0,8.9,-1.7,2.7,sun,0
67,0.0,15.6,0.6,2.5,sun,0
68,3.6,9.4,5.0,2.8,rain,0
69,10.4,7.2,6.1,3.4,rain,4
70,13.7,6.7,2.8,5.8,rain,4
71,19.3,8.3,0.6,6.2,snow,4
72,9.4,5.6,0.6,5.3,snow,0
73,8.6,7.8,1.1,4.7,rain,0
74,23.9,11.1,5.6,5.8,snow,3
75,8.4,8.9,3.9,5.1,rain,4
76,9.4,10.0,0.6,3.8,snow,4
77,3.6,5.0,-0.6,2.7,rain,0
78,2.0,7.2,-1.1,3.0,rain,0
79,3.6,7.8,2.2,6.4,rain,0
80,1.3,8.9,1.1,2.5,rain,0
81,4.1,10.0,1.7,2.1,rain,0
82,0.0,12.2,0.6,2.8,sun,0
83,0.0,15.0,3.3,5.2,sun,1
84,0.0,13.3,2.2,2.7,rain,0
85,0.0,12.8,6.1,4.3,drizzle,1
86,4.8,14.4,6.7,3.8,rain,1
87,1.3,10.6,7.2,5.9,rain,0
88,27.4,10.0,6.1,4.4,rain,3
89,5.6,9.4,5.0,4.7,rain,0
90,13.2,10.0,2.8,3.4,rain,4
91,1.5,8.9,4.4,6.8,rain,0
92,0.0,16.7,4.4,3.1,sun,1
93,1.5,11.7,3.3,3.1,rain,0
94,0.0,10.6,2.8,2.1,sun,0
95,4.6,9.4,2.8,1.8,snow,0
96,0.3,11.1,3.3,2.6,rain,0
97,0.0,16.1,1.7,4.3,sun,1
98,0.0,21.1,7.2,4.1,sun,1
99,0.0,20.0,6.1,2.1,sun,1
100,0.0,17.8,8.9,3.2,rain,1
101,2.3,11.1,7.2,2.6,rain,1
102,0.5,13.9,5.6,2.6,rain,1
103,0.0,15.0,3.9,4.0,drizzle,1
104,0.0,15.6,3.3,3.0,sun,1
105,0.0,16.1,7.2,2.9,rain,1
106,8.1,13.3,6.7,5.8,rain,4
107,1.8,10.0,4.4,2.0,rain,0
108,1.8,13.3,7.2,3.9,rain,1
109,10.9,13.9,5.0,2.6,rain,4
110,6.6,13.3,6.7,2.7,rain,1
111,0.0,20.0,4.4,2.3,sun,1
112,0.0,23.3,8.3,2.6,rain,2
113,0.0,21.7,8.9,3.5,sun,1
114,4.3,13.9,10.0,2.8,rain,1
115,10.7,16.7,8.9,2.6,rain,4
116,3.8,13.9,6.7,5.2,rain,1
117,0.8,13.3,6.1,4.8,rain,1
118,0.0,16.1,8.3,2.5,drizzle,1
119,4.3,15.6,8.9,1.6,rain,1
120,4.3,12.8,7.2,8.0,rain,1
121,0.5,11.7,6.1,6.4,rain,1
122,0.5,13.3,5.6,2.5,rain,1
123,18.5,11.1,7.2,3.4,rain,4
124,1.8,12.2,6.1,4.6,rain,1
125,0.0,13.3,5.0,2.3,sun,1
126,0.0,17.8,5.0,2.4,sun,1
127,0.0,23.9,6.1,2.2,sun,2
128,0.0,18.3,9.4,3.0,sun,1
129,0.0,13.3,6.7,3.9,rain,1
130,0.0,14.4,3.9,3.0,sun,1
131,0.0,18.3,4.4,4.3,sun,1
132,0.0,24.4,6.7,3.4,sun,2
133,0.0,25.6,9.4,4.2,sun,2
134,0.0,26.7,12.8,3.8,sun,2
135,0.0,24.4,9.4,4.1,drizzle,2
136,0.0,19.4,9.4,3.5,sun,1
137,0.0,17.8,6.7,2.9,rain,1
138,0.0,15.6,7.8,3.1,rain,1
139,0.0,19.4,7.2,1.5,sun,1
140,6.4,14.4,11.7,1.3,rain,1
141,14.0,16.7,10.0,4.0,rain,4
142,6.1,12.8,8.9,4.8,rain,1
143,0.3,14.4,8.9,6.3,rain,1
144,0.0,17.2,8.9,3.3,rain,1
145,0.0,22.2,8.9,3.1,rain,2
146,0.0,22.2,8.9,3.6,sun,2
147,0.0,17.2,11.7,3.7,sun,1
148,0.0,16.7,10.0,3.4,rain,1
149,0.0,16.1,7.8,1.8,sun,1
150,0.3,18.9,11.1,1.5,rain,1
151,3.8,17.8,12.2,2.7,rain,1
152,6.6,20.0,12.8,3.7,rain,1
153,0.3,18.9,10.6,3.7,rain,1
154,0.0,17.2,9.4,2.9,sun,1
155,1.3,12.8,8.9,3.1,rain,1
156,16.0,13.3,8.3,3.3,rain,4
157,0.0,16.1,6.1,3.4,sun,1
158,16.5,16.1,8.9,3.5,rain,4
159,1.5,15.0,8.3,3.0,rain,1
160,0.0,17.2,8.3,4.7,rain,1
161,0.0,18.9,10.0,2.9,sun,1
162,0.0,23.3,10.0,1.8,rain,2
163,0.8,18.3,12.8,3.9,rain,1
164,0.0,16.1,11.1,4.3,sun,1
165,0.0,17.2,10.0,2.7,sun,1
166,0.0,22.2,9.4,1.7,sun,2
167,0.0,21.1,15.0,4.1,rain,2
168,0.0,18.9,11.7,6.4,sun,1
169,3.0,17.2,10.0,3.8,rain,1
170,1.0,19.4,10.0,3.0,rain,1
171,0.0,24.4,10.0,3.0,sun,2
172,0.0,23.9,11.7,2.1,sun,2
173,15.7,13.9,11.7,1.9,rain,4
174,8.6,15.6,9.4,2.5,rain,4
175,0.0,19.4,9.4,2.0,drizzle,1
176,0.5,19.4,11.1,3.1,rain,1
177,0.0,18.3,10.6,3.4,rain,1
178,0.0,22.8,8.9,1.8,sun,2
179,0.0,22.2,11.7,2.5,rain,2
180,0.3,21.7,15.0,1.9,rain,2
181,3.0,20.0,13.3,2.4,rain,2
182,0.0,20.0,12.2,2.3,rain,1
183,2.0,18.9,11.7,2.1,rain,1
184,5.8,18.3,10.6,6.0,rain,1
185,0.0,20.6,9.4,3.8,sun,1
186,0.0,24.4,10.6,3.1,drizzle,2
187,0.0,25.0,11.1,2.1,sun,2
188,0.0,26.7,12.8,3.8,sun,2
189,0.0,28.3,14.4,2.8,rain,2
190,1.5,25.0,12.8,2.0,rain,2
191,0.0,23.9,11.1,2.3,drizzle,2
192,0.0,27.8,13.3,2.9,fog,2
193,0.0,25.6,13.3,2.7,drizzle,2
194,0.5,23.3,13.9,2.2,rain,2
195,0.0,25.0,15.0,2.2,rain,2
196,0.0,18.9,13.3,3.8,rain,1
197,0.3,26.1,13.3,2.5,rain,2
198,0.0,21.7,15.0,2.6,sun,2
199,0.0,21.1,14.4,2.9,sun,2
200,0.0,25.0,14.4,2.2,sun,2
201,15.2,19.4,13.9,4.0,rain,4
202,0.0,23.9,13.9,2.3,sun,2
203,1.0,20.6,12.2,3.9,rain,2
204,0.0,18.9,11.1,3.3,rain,1
205,0.0,23.3,12.2,4.3,sun,2
206,0.0,26.7,12.8,2.6,sun,2
207,0.0,25.6,12.8,2.2,drizzle,2
208,0.0,18.9,13.9,2.8,drizzle,1
209,0.0,22.2,13.3,1.7,drizzle,2
210,0.0,22.8,15.0,2.0,sun,2
211,0.0,19.4,13.3,3.0,sun,1
212,0.0,22.8,13.9,2.8,sun,2
213,0.0,23.9,13.3,2.2,drizzle,2
214,0.0,23.3,12.2,2.5,sun,2
215,0.0,27.2,12.8,3.9,sun,2
216,0.0,33.9,16.7,3.7,sun,2
217,0.0,33.9,17.8,1.9,sun,2
218,0.0,28.3,15.6,2.5,rain,2
219,0.0,21.1,15.0,2.6,drizzle,2
220,0.0,22.2,15.0,3.1,sun,2
221,0.0,24.4,14.4,3.8,drizzle,2
222,0.0,25.6,12.2,2.3,sun,2
223,0.0,28.3,13.3,2.5,sun,2
224,0.0,30.6,15.0,3.0,sun,2
225,0.0,30.6,15.0,2.8,sun,2
226,0.0,28.9,13.9,2.8,sun,2
227,0.0,31.1,16.7,4.7,sun,2
228,0.0,34.4,18.3,2.8,sun,2
229,0.0,32.8,16.1,1.8,sun,2
230,0.0,21.7,14.4,3.0,drizzle,2
231,0.0,23.3,15.0,2.7,drizzle,2
232,0.0,25.6,15.0,1.9,sun,2
233,0.0,23.3,13.3,3.0,rain,2
234,0.0,22.2,13.3,2.3,sun,2
235,0.0,21.1,13.9,3.8,sun,2
236,0.0,22.2,10.0,3.3,sun,2
237,0.0,26.1,11.7,3.2,sun,2
238,0.0,21.1,12.2,3.4,sun,2
239,0.0,23.9,13.3,1.8,sun,2
240,0.0,22.8,12.2,3.2,sun,2
241,0.0,22.8,13.3,2.4,sun,2
242,0.0,22.8,12.8,1.9,sun,2
243,0.0,22.2,10.6,2.9,sun,2
244,0.0,21.7,10.6,2.1,sun,2
245,0.0,21.1,10.0,2.0,sun,1
246,0.0,22.8,12.8,3.3,sun,2
247,0.0,24.4,11.1,3.1,sun,2
248,0.0,26.1,11.7,2.6,sun,2
249,0.0,28.3,14.4,4.2,sun,2
250,0.0,32.2,13.3,3.1,sun,2
251,0.0,25.0,13.3,3.0,sun,2
252,0.3,18.9,13.9,5.0,rain,1
253,0.3,20.0,11.7,3.9,rain,1
254,0.0,20.0,8.9,4.2,sun,1
255,0.0,22.2,10.0,5.6,sun,2
256,0.0,27.8,11.7,3.6,sun,2
257,0.0,26.1,11.1,1.5,sun,2
258,0.0,22.2,11.1,1.9,sun,2
259,0.0,24.4,9.4,2.3,sun,2
260,0.0,27.8,11.7,2.2,fog,2
261,0.0,27.8,11.7,1.4,sun,2
262,0.0,23.9,11.7,1.9,drizzle,2
263,0.0,19.4,10.0,2.5,drizzle,1
264,0.0,16.1,12.8,2.1,drizzle,1
265,0.3,19.4,11.7,1.1,rain,1
266,0.0,19.4,10.0,1.4,fog,1
267,0.0,21.1,10.0,1.8,fog,1
268,0.0,19.4,11.1,1.7,sun,1
269,0.0,19.4,9.4,1.7,drizzle,1
270,0.0,22.8,10.0,1.7,drizzle,2
271,0.0,25.0,12.2,1.1,rain,2
272,0.0,20.6,12.2,4.3,sun,2
273,0.0,21.1,7.8,3.1,sun,1
274,0.0,23.3,8.9,3.0,sun,2
275,0.0,17.8,10.0,4.1,sun,1
276,0.0,18.9,7.8,7.3,sun,1
277,0.0,18.9,8.3,6.5,sun,1
278,0.0,21.7,8.9,5.7,sun,1
279,0.0,23.9,7.8,5.1,sun,2
280,0.0,23.9,7.8,1.3,sun,2
281,0.0,21.1,7.8,1.9,sun,1
282,0.0,16.1,8.9,1.6,drizzle,1
283,0.0,12.2,8.3,1.4,drizzle,1
284,0.0,13.9,7.2,1.3,drizzle,1
285,2.0,13.9,8.9,4.6,rain,1
286,4.8,15.6,12.2,3.9,rain,1
287,16.5,17.8,13.3,3.4,rain,4
288,7.9,17.2,11.1,4.6,rain,1
289,0.0,16.1,8.3,5.5,sun,1
290,0.0,14.4,6.1,1.6,sun,1
291,20.8,17.8,6.7,2.0,rain,4
292,4.8,15.0,9.4,5.3,rain,1
293,0.5,11.1,6.1,5.7,rain,0
294,6.4,11.7,4.4,2.7,rain,0
295,8.9,7.8,3.3,2.6,rain,4
296,0.0,11.1,5.6,3.0,rain,0
297,7.1,11.7,6.1,2.1,rain,4
298,0.0,11.7,6.7,1.5,sun,1
299,1.5,11.1,7.2,2.5,rain,1
300,23.1,14.4,9.4,5.1,rain,4
301,6.1,14.4,10.0,3.8,rain,1
302,10.9,15.6,10.0,4.9,rain,4
303,34.5,15.0,12.2,2.8,rain,3
304,14.5,15.6,11.1,2.7,rain,4
305,9.7,15.0,10.6,3.0,rain,4
306,5.6,15.0,10.6,1.0,rain,1
307,0.5,15.6,11.1,3.6,rain,1
308,8.1,17.8,12.8,3.8,rain,1
309,0.8,15.0,7.8,4.0,rain,1
310,0.3,12.8,6.7,3.5,rain,1
311,0.0,12.2,3.9,3.4,rain,0
312,0.0,10.0,1.1,3.4,rain,0
313,0.0,8.9,1.1,2.0,rain,0
314,0.0,7.8,-0.6,2.2,sun,0
315,15.2,8.9,1.1,3.0,rain,4
316,3.6,12.8,6.1,3.0,rain,1
317,5.3,11.1,7.8,2.5,rain,1
318,0.8,11.1,5.0,2.6,rain,0
319,0.0,9.4,2.8,2.4,drizzle,0
320,5.6,9.4,2.2,1.6,rain,0
321,6.1,12.2,6.1,5.3,rain,1
322,7.9,10.0,6.1,4.9,rain,4
323,54.1,13.3,8.3,6.0,rain,3
324,3.8,11.1,7.2,4.2,rain,1
325,11.2,8.3,3.9,5.5,rain,4
326,0.0,8.9,2.8,1.5,rain,0
327,32.0,9.4,6.1,2.4,rain,3
328,0.0,8.9,3.9,1.2,rain,0
329,0.0,8.3,1.1,3.6,drizzle,0
330,0.0,9.4,1.7,3.8,fog,0
331,0.0,10.0,1.7,1.5,sun,0
332,2.8,9.4,2.2,2.9,rain,0
333,1.5,12.8,7.8,4.2,rain,1
334,35.6,15.0,7.8,4.6,rain,3
335,4.1,13.3,8.3,5.5,rain,1
336,19.6,8.3,7.2,6.2,rain,4
337,13.0,9.4,7.2,4.4,rain,4
338,14.2,11.7,7.2,6.2,rain,4
339,1.5,8.9,4.4,5.0,rain,0
340,1.5,7.2,6.1,5.1,rain,0
341,1.0,7.8,3.3,4.6,rain,0
342,0.0,6.7,3.3,2.0,sun,0
343,1.5,6.7,2.8,2.1,rain,0
344,0.5,7.2,5.6,1.8,rain,0
345,3.0,7.8,5.6,4.5,rain,0
346,8.1,6.7,4.4,2.0,rain,0
347,2.3,7.2,3.3,2.8,rain,0
348,7.9,6.1,1.1,1.7,rain,0
349,5.3,4.4,0.6,5.1,snow,0
350,22.6,6.7,3.3,5.5,snow,4
351,2.0,8.3,1.7,9.5,rain,0
352,3.3,3.9,0.6,5.3,snow,0
353,13.7,8.3,1.7,5.8,snow,4
354,13.2,7.2,0.6,3.7,rain,4
355,1.8,8.3,-1.7,1.7,rain,0
356,3.3,8.3,3.9,3.5,rain,0
357,6.6,7.2,3.3,2.5,rain,0
358,0.3,5.6,2.8,2.8,rain,0
359,13.5,5.6,2.8,4.2,snow,4
360,4.6,6.7,3.3,4.9,rain,0
361,4.1,7.8,3.3,3.2,rain,0
362,0.0,8.3,3.9,1.7,rain,0
363,1.5,5.0,3.3,1.7,rain,0
364,0.0,4.4,0.0,1.8,drizzle,0
365,0.0,3.3,-1.1,2.0,drizzle,0
366,0.0,5.0,-2.8,2.7,sun,0
367,0.0,6.1,-1.1,3.2,sun,0
368,4.1,6.7,-1.7,3.0,rain,0
369,2.5,10.0,2.2,2.8,rain,0
370,3.0,6.7,4.4,3.1,rain,0
371,2.0,7.2,2.8,3.0,rain,0
372,2.3,10.0,4.4,7.3,rain,0
373,16.3,11.7,5.6,6.3,rain,4
374,38.4,10.0,1.7,5.1,rain,3
375,0.3,3.3,-0.6,2.1,snow,0
376,0.0,2.8,-2.8,1.9,drizzle,0
377,0.0,2.8,-3.9,2.0,sun,0
378,0.0,2.2,-4.4,1.5,sun,0
379,0.0,3.3,-2.2,1.3,sun,0
380,0.0,6.7,-0.6,2.3,sun,0
381,0.0,6.1,-3.9,1.8,drizzle,0
382,0.0,3.9,-2.8,1.0,drizzle,0
383,0.0,3.3,-1.1,1.3,drizzle,0
384,0.0,1.1,-0.6,1.9,drizzle,0
385,0.0,3.3,-0.6,2.1,drizzle,0
386,0.0,2.2,-1.7,1.1,drizzle,0
387,0.0,3.3,-1.7,0.6,drizzle,0
388,5.1,7.2,2.2,3.1,rain,0
389,5.8,7.2,1.1,2.6,rain,0
390,3.0,10.6,2.8,2.1,rain,0
391,2.3,8.3,3.9,4.5,rain,0
392,1.8,5.6,3.9,4.5,rain,0
393,7.9,6.1,3.3,3.2,rain,0
394,4.3,8.3,5.0,3.9,rain,0
395,3.6,8.9,6.7,3.9,rain,0
396,3.0,9.4,7.2,4.0,rain,0
397,0.3,11.7,5.0,2.9,rain,0
398,0.0,6.1,2.8,2.0,drizzle,0
399,2.3,8.9,2.8,2.9,rain,0
400,0.0,10.6,6.7,2.6,rain,0
401,3.3,10.0,6.7,5.1,rain,0
402,1.0,10.6,6.1,4.5,rain,0
403,1.3,9.4,3.3,4.1,rain,0
404,0.0,7.8,2.2,1.3,sun,0
405,0.3,8.3,4.4,1.3,rain,0
406,0.0,8.9,1.7,2.0,drizzle,0
407,0.3,8.3,4.4,1.4,rain,0
408,1.0,11.1,7.2,5.6,rain,1
409,2.3,9.4,7.2,4.1,rain,0
410,1.0,9.4,5.6,2.2,rain,0
411,0.0,13.3,5.0,2.4,drizzle,1
412,0.0,11.1,3.9,5.6,rain,0
413,0.0,9.4,4.4,3.4,rain,0
414,0.0,7.8,3.9,1.9,rain,0
415,0.0,10.6,1.7,3.4,sun,0
416,1.5,7.8,1.1,2.1,rain,0
417,0.5,6.7,3.9,6.2,rain,0
418,9.4,7.8,3.9,8.1,rain,4
419,0.3,10.0,3.9,4.6,rain,0
420,0.0,8.9,5.0,5.5,rain,0
421,2.3,10.6,3.3,7.1,rain,0
422,0.5,8.9,3.9,3.8,rain,0
423,4.6,10.0,4.4,1.8,rain,0
424,8.1,11.7,6.7,3.8,rain,4
425,4.1,15.0,11.1,5.4,rain,1
426,0.8,13.9,5.0,4.5,rain,1
427,0.0,11.1,2.2,2.8,sun,0
428,0.0,13.3,0.0,3.9,sun,0
429,0.0,9.4,6.1,2.4,rain,0
430,11.9,7.2,5.0,4.1,rain,4
431,7.4,12.2,5.0,2.5,rain,4
432,0.0,11.7,2.2,2.6,drizzle,0
433,0.0,12.8,1.1,1.3,fog,0
434,0.8,7.8,3.9,1.6,rain,0
435,1.3,10.6,6.1,1.1,rain,0
436,2.0,12.8,10.0,5.7,rain,1
437,2.3,11.7,9.4,3.7,rain,1
438,2.8,11.7,9.4,3.0,rain,1
439,0.0,14.4,8.9,4.3,rain,1
440,4.3,10.6,4.4,6.4,rain,0
441,0.0,8.9,3.9,6.1,sun,0
442,0.0,11.7,3.9,5.9,rain,0
443,11.7,12.8,1.7,3.4,rain,4
444,9.9,11.1,4.4,7.6,rain,4
445,8.1,10.0,2.2,4.9,snow,0
446,0.0,9.4,0.6,2.2,sun,0
447,0.0,10.0,1.1,2.6,sun,0
448,0.0,12.2,0.6,2.1,sun,0
449,0.0,16.7,4.4,2.8,sun,1
450,0.0,16.7,6.1,1.7,sun,1
451,0.3,13.3,7.2,1.6,rain,1
452,2.0,16.1,8.3,1.3,rain,1
453,0.0,18.3,7.8,2.5,rain,1
454,0.0,20.0,5.6,4.4,drizzle,1
455,0.0,20.6,6.7,2.9,sun,1
456,0.0,17.2,8.3,3.6,sun,1
457,0.0,13.9,8.9,2.2,sun,1
458,0.0,16.7,7.8,1.6,sun,1
459,8.4,14.4,10.0,3.0,rain,4
460,18.5,13.9,10.0,5.6,rain,4
461,12.7,12.2,7.2,5.0,rain,4
462,39.1,8.3,5.0,3.9,rain,3
463,0.8,13.3,6.1,3.1,rain,1
464,0.0,12.2,6.1,2.4,sun,1
465,9.4,15.0,8.9,6.4,rain,4
466,1.5,12.2,6.7,3.8,rain,1
467,9.7,7.8,4.4,4.6,rain,4
468,9.4,10.6,3.3,5.7,rain,4
469,5.8,12.8,4.4,2.3,rain,0
470,0.0,13.9,4.4,2.4,fog,1
471,0.3,13.9,3.3,2.6,rain,1
472,0.0,15.0,3.9,3.3,drizzle,1
473,5.3,11.7,6.7,4.0,rain,1
474,20.6,13.3,9.4,4.9,rain,4
475,0.0,13.9,8.3,5.8,sun,1
476,3.3,12.2,6.7,4.1,rain,1
477,0.0,16.1,5.0,4.3,sun,1
478,0.0,17.8,3.9,2.8,sun,1
479,0.0,21.1,6.1,3.0,sun,1
480,0.0,21.7,6.7,1.1,sun,1
481,0.0,20.6,8.3,2.2,fog,1
482,0.0,13.9,10.6,5.9,sun,1
483,1.0,15.0,9.4,5.2,rain,1
484,3.8,13.9,6.7,4.2,rain,1
485,0.0,12.8,4.4,2.4,sun,0
486,0.0,18.3,3.3,3.1,sun,1
487,0.0,20.6,6.7,4.0,sun,1
488,0.0,21.7,9.4,4.9,sun,1
489,0.0,25.0,11.1,6.5,sun,2
490,0.0,28.9,11.7,5.3,sun,2
